epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,104.769,1.73254,6.54902,0.02417,0.00203,0.50304,0.02016,0.00672,1.72363,6.09235,0.02834,0.00110764,0.000369215,0.00110764,0.000369215,0.00110764,0.000369215,0.00110764,0.000369215
2,179.301,1.5147,5.85913,0.02117,0.70072,0.05605,0.07946,0.03148,1.56202,4.52779,0.02535,0.00217471,0.000724905,0.00217471,0.000724905,0.00217471,0.000724905,0.00217471,0.000724905
3,253.573,1.43219,4.79925,0.01997,0.58883,0.17261,0.20804,0.09057,1.55051,2.90263,0.02561,0.00319779,0.00106593,0.00319779,0.00106593,0.00319779,0.00106593,0.00319779,0.00106593
4,320.934,1.43942,3.80144,0.01983,0.49873,0.26993,0.33619,0.1606,1.56503,2.44871,0.02642,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
5,386.643,1.43668,3.14574,0.01953,0.41224,0.37688,0.37906,0.17964,1.57052,2.2383,0.02619,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
6,478.249,1.42696,2.7351,0.01986,0.43924,0.45044,0.43206,0.21828,1.57741,2.04401,0.02716,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
7,547.209,1.42255,2.48007,0.01968,0.47064,0.45233,0.45276,0.23353,1.52598,1.92786,0.02539,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
8,644.679,1.42134,2.2923,0.01961,0.47714,0.53314,0.47519,0.24515,1.5612,1.85284,0.02609,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
9,710.419,1.41251,2.15388,0.01935,0.52751,0.50815,0.49768,0.26031,1.54533,1.79032,0.0258,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
10,778.07,1.41171,2.02931,0.01959,0.54564,0.54316,0.54554,0.28575,1.60915,1.7022,0.0272,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
11,843.098,1.41423,1.95002,0.01966,0.63204,0.5283,0.56653,0.29284,1.58945,1.58375,0.02654,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
12,909.893,1.38898,1.84913,0.01924,0.59208,0.61415,0.59941,0.32402,1.57085,1.49144,0.02563,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
13,978.197,1.40515,1.76972,0.01948,0.5859,0.56842,0.58871,0.30898,1.56351,1.51634,0.02587,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
14,1045.44,1.38266,1.68963,0.01877,0.70477,0.60363,0.66109,0.32901,1.58946,1.38159,0.02633,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
15,1112.69,1.38221,1.66481,0.01879,0.65671,0.63542,0.6428,0.3333,1.5577,1.37048,0.02591,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
16,1181.18,1.38687,1.60327,0.0189,0.65351,0.55517,0.61286,0.32639,1.55805,1.3577,0.02569,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
17,1249.28,1.37032,1.53641,0.01877,0.64807,0.64604,0.66615,0.3393,1.60261,1.29761,0.02641,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
18,1317.12,1.36764,1.49759,0.01871,0.65111,0.65904,0.67625,0.35385,1.5723,1.29773,0.02561,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
19,1385.25,1.36162,1.44287,0.01843,0.68249,0.66617,0.69946,0.36865,1.57242,1.19196,0.02563,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
20,1452.73,1.36609,1.44001,0.01852,0.68701,0.66659,0.69812,0.367,1.5901,1.24443,0.02613,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
21,1520.78,1.36483,1.39761,0.01847,0.63787,0.68993,0.68748,0.36317,1.57129,1.19047,0.02604,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
22,1588,1.35968,1.36972,0.01835,0.72604,0.65283,0.70239,0.36833,1.60424,1.20468,0.02659,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
23,1655.2,1.34299,1.34083,0.01832,0.69892,0.68411,0.70567,0.36358,1.58618,1.18251,0.02616,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
24,1723.9,1.33128,1.30442,0.0179,0.67592,0.70548,0.71404,0.38965,1.58911,1.17865,0.02603,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
25,1789.48,1.3352,1.31417,0.01811,0.68425,0.72117,0.73819,0.40933,1.53084,1.09197,0.02525,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
26,1855.78,1.31818,1.27772,0.0178,0.73775,0.66527,0.70322,0.38145,1.555,1.11246,0.02554,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
27,1923.47,1.31664,1.23713,0.01776,0.74084,0.71236,0.73157,0.39517,1.51383,1.0871,0.02498,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
28,1992.55,1.30749,1.22212,0.0174,0.76956,0.69007,0.75437,0.41799,1.5277,1.08417,0.02519,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
29,2060.3,1.30672,1.20456,0.01739,0.78527,0.68152,0.76676,0.41535,1.5525,1.0465,0.0256,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
30,2127.93,1.297,1.15974,0.01732,0.78769,0.70995,0.76976,0.42437,1.54467,1.0034,0.0257,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
31,2193.45,1.2941,1.16937,0.01725,0.74065,0.70657,0.77062,0.42264,1.55681,1.0354,0.02539,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
32,2259.64,1.27724,1.15624,0.01696,0.7097,0.7319,0.75598,0.41171,1.5389,1.01698,0.02504,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
33,2325.16,1.27708,1.14674,0.017,0.80644,0.71619,0.77242,0.42506,1.53802,1.06318,0.02513,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
34,2392.03,1.28201,1.14964,0.01706,0.73622,0.72407,0.76496,0.41389,1.54697,1.05001,0.02524,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
35,2457.2,1.26905,1.10884,0.01685,0.79372,0.68527,0.76131,0.41295,1.53663,0.98478,0.02505,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
36,2522.74,1.26723,1.10074,0.01681,0.79783,0.72385,0.77489,0.4199,1.54259,1.00686,0.02503,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
37,2589.79,1.26573,1.117,0.01662,0.74659,0.72765,0.77298,0.42317,1.52304,0.97611,0.02473,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
38,2655.58,1.25344,1.08867,0.01631,0.74765,0.73746,0.78539,0.44068,1.5102,0.96832,0.02458,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
39,2720.96,1.2497,1.08095,0.0162,0.80358,0.68937,0.77645,0.42583,1.52539,1.00786,0.02462,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
40,2786.05,1.24322,1.05723,0.01639,0.81841,0.69284,0.78248,0.43527,1.52024,0.96436,0.02475,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
41,74.273,1.2709,0.7898,0.02037,0.82914,0.68145,0.77039,0.40888,1.53507,1.00106,0.02483,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
42,141.67,1.22937,0.72069,0.01932,0.84049,0.69839,0.78849,0.42437,1.53978,0.94315,0.02464,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
43,208.327,1.22499,0.71975,0.01923,0.74916,0.77392,0.79722,0.44322,1.50346,0.93687,0.02418,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
44,274.856,1.20878,0.68528,0.01886,0.73886,0.76286,0.7979,0.44468,1.49708,0.93481,0.02389,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
45,340.468,1.196,0.6692,0.01871,0.81507,0.72917,0.79965,0.44468,1.48582,0.96027,0.02358,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
46,409.724,1.18637,0.66436,0.01846,0.78606,0.75709,0.80358,0.44792,1.48824,0.92701,0.0237,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
47,477.082,1.18464,0.65795,0.01841,0.8198,0.74209,0.80535,0.45367,1.48209,0.92451,0.02368,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
48,544.424,1.17749,0.64796,0.01837,0.83018,0.71864,0.80262,0.45009,1.46842,0.92508,0.02327,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05
49,612.165,1.17993,0.64378,0.01841,0.79143,0.74683,0.79617,0.44929,1.48176,0.91776,0.02351,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
50,678.558,1.16393,0.63876,0.01778,0.7604,0.78269,0.79863,0.45522,1.47959,0.9106,0.0234,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05
